,precision,recall,f1-score,support
benigno,0.0,0.0,0.0,39.0
maligno,0.8814589665653495,1.0,0.9369951534733441,290.0
accuracy,0.8814589665653495,0.8814589665653495,0.8814589665653495,0.8814589665653495
macro avg,0.44072948328267475,0.5,0.46849757673667203,329.0
weighted avg,0.776969909738454,0.8814589665653495,0.825922779657355,329.0
