accuracy,loss,val_accuracy,val_loss
0.5239543914794922,0.7910885810852051,0.39209726452827454,0.6948073506355286
0.3049429655075073,0.6958034634590149,0.11854103207588196,0.6973580121994019
0.11863117665052414,0.6932265758514404,0.11854103207588196,0.697128176689148
0.1688212901353836,0.6932232975959778,0.11854103207588196,0.6957178115844727
0.2653992474079132,0.6932052373886108,0.12462005764245987,0.6955296397209167
0.3612167239189148,0.6933494806289673,0.11854103207588196,0.6948829293251038
0.3171102702617645,0.6932240128517151,0.11854103207588196,0.6960739493370056
0.1262357383966446,0.6932488679885864,0.11854103207588196,0.6964136362075806
0.28212928771972656,0.6932228803634644,0.11854103207588196,0.6945182085037231
0.4007604420185089,0.6933301091194153,0.11854103207588196,0.695083498954773
